benefit_id,initiative_id,month,benefit_type,business_case_value,measured_value,realised_value,validated_value,driver_volume
AI-005-B2,AI-005,2026-06,productivity,70588.24,56881.51,43837.03,13044.47,1496.9
AI-005-B2,AI-005,2026-07,productivity,70588.24,59874.46,44708.87,15165.59,1575.6
AI-005-B2,AI-005,2026-08,productivity,70588.24,56777.59,40892.65,15884.95,1494.1
AI-006-B1,AI-006,2026-01,productivity,169230.77,96484.88,73733.91,22750.98,2353.3
AI-006-B1,AI-006,2026-02,productivity,338461.54,200447.66,149541.46,50906.21,4889.0
AI-006-B1,AI-006,2026-03,productivity,507692.31,305091.44,220836.38,84255.05,7441.3
AI-006-B1,AI-006,2026-04,productivity,676923.08,403945.51,281792.19,122153.31,9852.3
AI-006-B1,AI-006,2026-05,productivity,676923.08,382493.89,255248.06,127245.83,9329.1
AI-006-B1,AI-006,2026-06,productivity,676923.08,407778.78,258130.36,149648.42,9945.8
AI-006-B1,AI-006,2026-07,productivity,676923.08,396704.15,235907.66,160796.49,9675.7
AI-006-B1,AI-006,2026-08,productivity,676923.08,407053.69,224809.99,182243.7,9928.1
AI-007-B1,AI-007,2025-12,risk,66666.67,39711.8,24290.47,15421.32,39711.8
AI-007-B1,AI-007,2026-01,risk,133333.33,83901.24,49243.27,34657.97,83901.2
AI-007-B1,AI-007,2026-02,risk,200000.0,114717.44,63679.51,51037.93,114717.4
AI-007-B1,AI-007,2026-03,risk,266666.67,157325.19,81212.32,76112.87,157325.2
AI-007-B1,AI-007,2026-04,risk,266666.67,161587.97,75985.68,85602.29,161588.0
AI-007-B1,AI-007,2026-05,risk,266666.67,161548.19,67399.33,94148.86,161548.2
AI-007-B1,AI-007,2026-06,risk,266666.67,158731.15,56683.36,102047.79,158731.1
AI-007-B1,AI-007,2026-07,risk,266666.67,161014.37,46682.22,114332.15,161014.4
AI-007-B1,AI-007,2026-08,risk,266666.67,161462.66,34823.84,126638.82,161462.7
AI-007-B2,AI-007,2025-12,cost_savings,30000.0,26474.53,24271.48,2203.05,26474.5
AI-007-B2,AI-007,2026-01,cost_savings,60000.0,55934.16,50983.02,4951.14,55934.2
AI-007-B2,AI-007,2026-02,cost_savings,90000.0,76478.29,69187.16,7291.13,76478.3
AI-007-B2,AI-007,2026-03,cost_savings,120000.0,104883.46,94010.19,10873.27,104883.5
AI-007-B2,AI-007,2026-04,cost_savings,120000.0,107725.31,95496.41,12228.9,107725.3
AI-007-B2,AI-007,2026-05,cost_savings,120000.0,107698.79,94248.96,13449.84,107698.8
AI-007-B2,AI-007,2026-06,cost_savings,120000.0,105820.76,91242.51,14578.26,105820.8
AI-007-B2,AI-007,2026-07,cost_savings,120000.0,107342.91,91009.75,16333.16,107342.9
AI-007-B2,AI-007,2026-08,cost_savings,120000.0,107641.77,89550.51,18091.26,107641.8
AI-008-B1,AI-008,2025-11,cost_savings,188235.29,183079.71,179250.73,3828.98,183079.7
AI-008-B1,AI-008,2025-12,cost_savings,376470.59,362750.98,354802.47,7948.51,362751.0
AI-008-B1,AI-008,2026-01,cost_savings,564705.88,542451.91,529808.3,12643.61,542451.9
AI-008-B1,AI-008,2026-02,cost_savings,752941.18,740636.33,722043.58,18592.75,740636.3
AI-008-B1,AI-008,2026-03,cost_savings,752941.18,745666.11,725310.73,20355.39,745666.1
AI-008-B1,AI-008,2026-04,cost_savings,752941.18,738501.83,716426.71,22075.12,738501.8
AI-008-B1,AI-008,2026-05,cost_savings,752941.18,745124.3,720621.44,24502.86,745124.3
AI-008-B1,AI-008,2026-06,cost_savings,752941.18,755129.51,727736.61,27392.9,755129.5
AI-008-B1,AI-008,2026-07,cost_savings,752941.18,747906.0,717940.2,29965.8,747906.0
AI-008-B1,AI-008,2026-08,cost_savings,752941.18,738753.31,706059.22,32694.09,738753.3
AI-009-B1,AI-009,2026-01,cost_savings,150000.0,0.0,0.0,0.0,0.0
AI-009-B1,AI-009,2026-02,cost_savings,300000.0,160020.75,128690.87,31329.88,160020.8
AI-009-B1,AI-009,2026-03,cost_savings,450000.0,334461.62,263254.25,71207.37,334461.6
AI-009-B1,AI-009,2026-04,cost_savings,600000.0,479198.13,367483.43,111714.7,479198.1
AI-009-B1,AI-009,2026-05,cost_savings,600000.0,659236.63,490164.07,169072.56,659236.6
AI-009-B1,AI-009,2026-06,cost_savings,600000.0,652835.87,468136.98,184698.89,652835.9
AI-009-B1,AI-009,2026-07,cost_savings,600000.0,662346.71,455376.45,206970.26,662346.7
AI-009-B1,AI-009,2026-08,cost_savings,600000.0,651900.29,426893.96,225006.34,651900.3
AI-009-B2,AI-009,2026-01,revenue,23076.92,0.0,0.0,0.0,0.0
AI-009-B2,AI-009,2026-02,revenue,46153.85,17780.08,11514.11,6265.98,17780.1
AI-009-B2,AI-009,2026-03,revenue,69230.77,37162.4,22920.93,14241.47,37162.4
AI-009-B2,AI-009,2026-04,revenue,92307.69,53244.24,30901.3,22342.94,53244.2
AI-009-B2,AI-009,2026-05,revenue,92307.69,73248.51,39434.0,33814.51,73248.5
AI-009-B2,AI-009,2026-06,revenue,92307.69,72537.32,35597.54,36939.78,72537.3
AI-009-B2,AI-009,2026-07,revenue,92307.69,73594.08,32200.03,41394.05,73594.1
AI-009-B2,AI-009,2026-08,revenue,92307.69,72433.37,27432.1,45001.27,72433.4
AI-010-B1,AI-010,2025-12,revenue,153333.33,131500.4,84834.5,46665.9,131500.4
AI-010-B1,AI-010,2026-01,revenue,306666.67,250177.45,155738.02,94439.43,250177.5
AI-010-B1,AI-010,2026-02,revenue,460000.0,376946.0,223691.49,153254.51,376946.0
AI-010-B1,AI-010,2026-03,revenue,613333.33,503721.96,281021.45,222700.51,503722.0
AI-010-B1,AI-010,2026-04,revenue,613333.33,506483.33,261288.1,245195.23,506483.3
AI-010-B1,AI-010,2026-05,revenue,613333.33,532056.36,248694.69,283361.67,532056.4
AI-010-B1,AI-010,2026-06,revenue,613333.33,235501.98,97143.28,138358.7,235502.0
AI-010-B1,AI-010,2026-07,revenue,613333.33,239764.68,84182.65,155582.02,239764.7
AI-010-B1,AI-010,2026-08,revenue,613333.33,223847.85,63405.82,160442.03,223847.8
AI-011-B1,AI-011,2025-12,productivity,40000.0,41979.54,39649.81,2329.73,591.3
AI-011-B1,AI-011,2026-01,productivity,80000.0,80068.88,75342.11,4726.77,1127.7
AI-011-B1,AI-011,2026-02,productivity,120000.0,117335.05,109874.73,7460.32,1652.6
AI-011-B1,AI-011,2026-03,productivity,160000.0,159505.82,148477.67,11028.14,2246.6
AI-011-B1,AI-011,2026-04,productivity,160000.0,155307.54,143549.5,11758.04,2187.4
AI-011-B1,AI-011,2026-05,productivity,160000.0,161581.29,148123.61,13457.67,2275.8
AI-011-B1,AI-011,2026-06,productivity,160000.0,166568.8,151264.93,15303.86,2346.0
AI-011-B1,AI-011,2026-07,productivity,160000.0,157362.63,141393.86,15968.76,2216.4
AI-011-B1,AI-011,2026-08,productivity,160000.0,160290.47,142323.77,17966.7,2257.6
AI-011-B2,AI-011,2025-12,cost_savings,30000.0,27986.36,27986.36,0.0,27986.4
AI-011-B2,AI-011,2026-01,cost_savings,60000.0,53379.25,53379.25,0.0,53379.3
AI-011-B2,AI-011,2026-02,cost_savings,90000.0,78223.37,78223.37,0.0,78223.4
AI-011-B2,AI-011,2026-03,cost_savings,120000.0,106337.21,106337.21,0.0,106337.2
AI-011-B2,AI-011,2026-04,cost_savings,120000.0,103538.36,103538.36,0.0,103538.4
AI-011-B2,AI-011,2026-05,cost_savings,120000.0,107720.86,107720.86,0.0,107720.9
AI-011-B2,AI-011,2026-06,cost_savings,120000.0,111045.86,111045.86,0.0,111045.9
AI-011-B2,AI-011,2026-07,cost_savings,120000.0,104908.42,104908.42,0.0,104908.4
AI-011-B2,AI-011,2026-08,cost_savings,120000.0,106860.31,106860.31,0.0,106860.3
AI-012-B1,AI-012,2025-11,productivity,102941.18,95470.41,68771.99,26698.42,1224.0
AI-012-B1,AI-012,2025-12,productivity,205882.35,193682.64,136935.72,56746.92,2483.1
AI-012-B1,AI-012,2026-01,productivity,308823.53,284295.28,195691.17,88604.11,3644.8
AI-012-B1,AI-012,2026-02,productivity,411764.71,380403.45,252713.25,127690.21,4877.0
AI-012-B1,AI-012,2026-03,productivity,411764.71,392660.83,249334.19,143326.64,5034.1
AI-012-B1,AI-012,2026-04,productivity,411764.71,380362.71,228334.63,152028.08,4876.4
AI-012-B1,AI-012,2026-05,productivity,411764.71,404358.87,226559.81,177799.06,5184.1
AI-012-B1,AI-012,2026-06,productivity,411764.71,402884.88,207463.57,195421.31,5165.2
AI-012-B1,AI-012,2026-07,productivity,411764.71,384351.12,178439.25,205911.87,4927.6
AI-012-B1,AI-012,2026-08,productivity,411764.71,381529.81,155756.43,225773.37,4891.4
