cluster_id,month,cluster_name,platform,region,hpe_product_id,gpus,gpu_hours_capacity,gpu_hours_used,utilisation,infrastructure_cost,energy_kwh
GL-US-01,2026-07,GreenLake AI compute Americas,HPE GreenLake cloud,Americas,HPE-GL,12,8760.0,6877.5,0.7851,190589.16,9755.0
GL-US-01,2026-08,GreenLake AI compute Americas,HPE GreenLake cloud,Americas,HPE-GL,12,8760.0,6766.4,0.7724,189215.21,9633.0
GL-APJ-01,2025-09,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,4,2920.0,884.1,0.3028,261271.67,1703.0
GL-APJ-01,2025-10,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,4,2920.0,884.1,0.3028,261498.13,1703.0
GL-APJ-01,2025-11,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,4,2920.0,1144.2,0.3919,215354.11,1989.0
GL-APJ-01,2025-12,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,8,5840.0,1883.8,0.3226,217499.27,3532.0
GL-APJ-01,2026-01,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,8,5840.0,2531.4,0.4335,220170.82,4245.0
GL-APJ-01,2026-02,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,8,5840.0,4179.0,0.7156,182464.98,6057.0
GL-APJ-01,2026-03,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,12,8760.0,5198.9,0.5935,175206.56,7909.0
GL-APJ-01,2026-04,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,12,8760.0,6172.8,0.7047,177702.54,8980.0
GL-APJ-01,2026-05,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,12,8760.0,7287.1,0.8319,182948.79,10206.0
GL-APJ-01,2026-06,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,12,8760.0,7199.9,0.8219,181552.77,10110.0
GL-APJ-01,2026-07,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,12,8760.0,7306.0,0.834,178603.18,10227.0
GL-APJ-01,2026-08,GreenLake AI compute APJ,HPE GreenLake cloud,APJ,HPE-GL,12,8760.0,7183.0,0.82,178584.2,10091.0
PUB-GPU-01,2025-11,Public cloud GPU burst,Public cloud (non-HPE),Global,,4,2920.0,980.2,0.3357,62232.76,1808.0
PUB-GPU-01,2025-12,Public cloud GPU burst,Public cloud (non-HPE),Global,,4,2920.0,1911.0,0.6545,66330.62,2832.0
PUB-GPU-01,2026-01,Public cloud GPU burst,Public cloud (non-HPE),Global,,4,2920.0,2832.4,0.97,49685.22,3846.0
PUB-GPU-01,2026-02,Public cloud GPU burst,Public cloud (non-HPE),Global,,8,5840.0,4476.3,0.7665,50077.78,6384.0
PUB-GPU-01,2026-03,Public cloud GPU burst,Public cloud (non-HPE),Global,,8,5840.0,4809.1,0.8235,45635.96,6750.0
PUB-GPU-01,2026-04,Public cloud GPU burst,Public cloud (non-HPE),Global,,8,5840.0,5355.9,0.9171,62463.76,7351.0
PUB-GPU-01,2026-05,Public cloud GPU burst,Public cloud (non-HPE),Global,,8,5840.0,5252.6,0.8994,73311.54,7238.0
PUB-GPU-01,2026-06,Public cloud GPU burst,Public cloud (non-HPE),Global,,10,7300.0,5471.0,0.7495,70659.51,7843.0
PUB-GPU-01,2026-07,Public cloud GPU burst,Public cloud (non-HPE),Global,,10,7300.0,5235.3,0.7172,72616.27,7584.0
PUB-GPU-01,2026-08,Public cloud GPU burst,Public cloud (non-HPE),Global,,10,7300.0,5106.1,0.6995,68713.65,7442.0
