month,bu_id,account,amount,ai_programme_spend,ai_attributed_benefit
2025-05,BU-SAL,Revenue,518156531.4,0.0,0.0
2025-05,BU-SCM,Cost of sales,326438614.78,0.0,0.0
2025-05,BU-CUS,Operating expenses,31598998.04,0.0,0.0
2025-05,BU-SAL,Operating expenses,24747037.9,0.0,0.0
2025-05,BU-SCM,Operating expenses,45605527.02,0.0,0.0
2025-05,BU-FIN,Operating expenses,7671962.74,0.0,0.0
2025-05,BU-TEC,Operating expenses,21686626.13,0.0,0.0
2025-05,BU-COR,Operating expenses,11395226.64,0.0,0.0
2025-05,BU-ENG,Operating expenses,26338306.22,0.0,0.0
2025-06,BU-SAL,Revenue,519517296.94,0.0,0.0
2025-06,BU-SCM,Cost of sales,327295897.07,0.0,0.0
2025-06,BU-CUS,Operating expenses,31787339.36,0.0,0.0
2025-06,BU-SAL,Operating expenses,24720171.47,0.0,0.0
2025-06,BU-SCM,Operating expenses,45419779.2,0.0,0.0
2025-06,BU-FIN,Operating expenses,7769428.74,0.0,0.0
2025-06,BU-TEC,Operating expenses,21524311.11,0.0,0.0
2025-06,BU-COR,Operating expenses,11289683.23,0.0,0.0
2025-06,BU-ENG,Operating expenses,26620197.57,0.0,0.0
2025-07,BU-SAL,Revenue,515023701.16,0.0,0.0
2025-07,BU-SCM,Cost of sales,324464931.73,0.0,0.0
2025-07,BU-CUS,Operating expenses,32126877.89,0.0,0.0
2025-07,BU-SAL,Operating expenses,25166066.75,0.0,0.0
2025-07,BU-SCM,Operating expenses,44682269.94,0.0,0.0
2025-07,BU-FIN,Operating expenses,7749199.35,0.0,0.0
2025-07,BU-TEC,Operating expenses,21710750.34,0.0,0.0
2025-07,BU-COR,Operating expenses,11260683.71,0.0,0.0
2025-07,BU-ENG,Operating expenses,27193945.55,0.0,0.0
2025-08,BU-SAL,Revenue,531752929.25,0.0,0.0
2025-08,BU-SCM,Cost of sales,335004345.43,0.0,0.0
2025-08,BU-CUS,Operating expenses,32044723.22,0.0,0.0
2025-08,BU-SAL,Operating expenses,25273107.61,0.0,0.0
2025-08,BU-SCM,Operating expenses,46002117.53,0.0,0.0
2025-08,BU-FIN,Operating expenses,7628268.23,0.0,0.0
2025-08,BU-TEC,Operating expenses,21651601.86,0.0,0.0
2025-08,BU-COR,Operating expenses,11361789.31,0.0,0.0
2025-08,BU-ENG,Operating expenses,26492236.13,0.0,0.0
2025-09,BU-SAL,Revenue,546835917.91,0.0,0.0
2025-09,BU-SCM,Cost of sales,344506628.28,0.0,0.0
2025-09,BU-CUS,Operating expenses,32528940.58,567900.07,0.0
2025-09,BU-SAL,Operating expenses,25699930.78,713474.21,0.0
2025-09,BU-SCM,Operating expenses,46722241.44,1142325.66,0.0
2025-09,BU-FIN,Operating expenses,7688795.7,0.0,0.0
2025-09,BU-TEC,Operating expenses,22845203.31,1084877.8,0.0
2025-09,BU-COR,Operating expenses,11538904.91,0.0,0.0
2025-09,BU-ENG,Operating expenses,27614079.45,225961.42,0.0
2025-10,BU-SAL,Revenue,570145495.08,0.0,0.0
2025-10,BU-SCM,Cost of sales,359191661.9,0.0,0.0
2025-10,BU-CUS,Operating expenses,32714736.69,576424.13,0.0
2025-10,BU-SAL,Operating expenses,25472469.15,709545.35,0.0
2025-10,BU-SCM,Operating expenses,47359307.99,1125235.57,0.0
2025-10,BU-FIN,Operating expenses,8203432.27,225884.24,0.0
2025-10,BU-TEC,Operating expenses,23442908.79,1119898.37,0.0
2025-10,BU-COR,Operating expenses,12161240.45,601217.6,0.0
2025-10,BU-ENG,Operating expenses,27444043.36,218550.03,0.0
2025-11,BU-SAL,Revenue,576734502.38,0.0,0.0
2025-11,BU-SCM,Cost of sales,363342736.5,0.0,0.0
2025-11,BU-CUS,Operating expenses,32488906.49,390523.74,146540.1
2025-11,BU-SAL,Operating expenses,25772341.98,719178.55,0.0
2025-11,BU-SCM,Operating expenses,47021867.84,1116262.99,0.0
2025-11,BU-FIN,Operating expenses,8038947.22,219973.23,0.0
2025-11,BU-TEC,Operating expenses,22691985.08,859615.42,259858.21
2025-11,BU-COR,Operating expenses,12075200.56,611840.47,0.0
2025-11,BU-ENG,Operating expenses,27767339.96,152372.84,0.0
2025-12,BU-SAL,Revenue,595950387.47,0.0,84834.5
2025-12,BU-SCM,Cost of sales,375448744.11,0.0,0.0
2025-12,BU-CUS,Operating expenses,32283386.28,388623.43,303759.52
2025-12,BU-SAL,Operating expenses,25350643.07,585848.23,0.0
2025-12,BU-SCM,Operating expenses,46694828.41,1142119.79,0.0
2025-12,BU-FIN,Operating expenses,7883464.99,150282.09,18686.26
2025-12,BU-TEC,Operating expenses,22341818.34,753417.67,545067.24
2025-12,BU-COR,Operating expenses,12220536.88,563891.93,27986.36
2025-12,BU-ENG,Operating expenses,27713072.4,150643.32,0.0
2026-01,BU-SAL,Revenue,597737959.24,0.0,197522.98
2026-01,BU-SCM,Cost of sales,376574914.32,0.0,0.0
2026-01,BU-CUS,Operating expenses,33151266.72,385135.06,464915.79
2026-01,BU-SAL,Operating expenses,25999539.49,481668.07,0.0
2026-01,BU-SCM,Operating expenses,46803172.36,1112382.32,0.0
2026-01,BU-FIN,Operating expenses,8031760.26,147229.64,39978.36
2026-01,BU-TEC,Operating expenses,22349062.6,754972.67,846841.75
2026-01,BU-COR,Operating expenses,12160935.73,421281.1,53379.25
2026-01,BU-ENG,Operating expenses,27500589.22,149253.5,0.0
2026-02,BU-SAL,Revenue,573313004.07,0.0,308371.7
2026-02,BU-SCM,Cost of sales,361187192.56,0.0,236985.96
2026-02,BU-CUS,Operating expenses,32005915.43,391015.33,568202.44
2026-02,BU-SAL,Operating expenses,25424173.13,489035.88,0.0
2026-02,BU-SCM,Operating expenses,46415149.35,789081.42,0.0
2026-02,BU-FIN,Operating expenses,7949723.27,151759.58,57210.38
2026-02,BU-TEC,Operating expenses,22166398.63,749419.18,1141069.63
2026-02,BU-COR,Operating expenses,11846559.88,420355.97,78223.37
2026-02,BU-ENG,Operating expenses,27862289.98,151026.3,0.0
2026-03,BU-SAL,Revenue,571706009.78,0.0,400664.99
2026-03,BU-SCM,Cost of sales,360174786.16,0.0,475980.38
2026-03,BU-CUS,Operating expenses,32637184.91,382827.16,609229.53
2026-03,BU-SAL,Operating expenses,25862228.87,488123.73,0.0
2026-03,BU-SCM,Operating expenses,47661858.58,778312.73,0.0
2026-03,BU-FIN,Operating expenses,8114345.35,148151.96,78127.57
2026-03,BU-TEC,Operating expenses,21447751.11,749730.9,1180896.02
2026-03,BU-COR,Operating expenses,12066078.88,413110.13,106337.21
2026-03,BU-ENG,Operating expenses,27933877.39,148528.83,0.0
2026-04,BU-SAL,Revenue,555998547.89,0.0,405598.39
2026-04,BU-SCM,Cost of sales,350279085.17,0.0,699252.18
2026-04,BU-CUS,Operating expenses,32776242.68,392030.1,613319.31
2026-04,BU-SAL,Operating expenses,25977180.68,486236.9,0.0
2026-04,BU-SCM,Operating expenses,48068398.99,799143.9,0.0
2026-04,BU-FIN,Operating expenses,8169940.21,148050.11,84249.97
2026-04,BU-TEC,Operating expenses,21763475.25,753266.76,1140704.02
2026-04,BU-COR,Operating expenses,12166681.69,442313.19,103538.36
2026-04,BU-ENG,Operating expenses,27656900.7,146427.94,0.0
2026-05,BU-SAL,Revenue,531922290.67,0.0,377408.97
2026-05,BU-SCM,Cost of sales,335111043.12,0.0,914990.76
2026-05,BU-CUS,Operating expenses,32372072.47,380137.35,575917.06
2026-05,BU-SAL,Operating expenses,26602801.3,483707.48,0.0
2026-05,BU-SCM,Operating expenses,47455820.06,777869.65,0.0
2026-05,BU-FIN,Operating expenses,7929875.83,151819.19,79933.67
2026-05,BU-TEC,Operating expenses,21934747.84,743441.58,1164917.98
2026-05,BU-COR,Operating expenses,12043417.14,450195.55,107720.86
2026-05,BU-ENG,Operating expenses,27956020.42,164794.25,0.0
2026-06,BU-SAL,Revenue,531542860.07,0.0,209675.85
2026-06,BU-SCM,Cost of sales,334872001.84,0.0,896039.62
2026-06,BU-CUS,Operating expenses,33108802.41,385135.95,605229.69
2026-06,BU-SAL,Operating expenses,25723670.1,515481.57,0.0
2026-06,BU-SCM,Operating expenses,48834745.46,975714.78,0.0
2026-06,BU-FIN,Operating expenses,8191185.36,153564.34,83056.28
2026-06,BU-TEC,Operating expenses,22038058.98,757811.93,1147223.69
2026-06,BU-COR,Operating expenses,12006927.13,457431.35,111045.86
2026-06,BU-ENG,Operating expenses,28152317.64,166483.47,0.0
2026-07,BU-SAL,Revenue,546510453.77,0.0,179110.43
2026-07,BU-SCM,Cost of sales,344301585.88,0.0,856253.32
2026-07,BU-CUS,Operating expenses,33310756.18,377732.98,606274.99
2026-07,BU-SAL,Operating expenses,25852576.5,510202.36,0.0
2026-07,BU-SCM,Operating expenses,49130634.29,977678.34,0.0
2026-07,BU-FIN,Operating expenses,8070689.03,151059.64,79482.9
2026-07,BU-TEC,Operating expenses,21941614.99,740942.94,1153031.11
2026-07,BU-COR,Operating expenses,12334360.45,460674.47,104908.42
2026-07,BU-ENG,Operating expenses,28537375.19,163478.16,0.0
2026-08,BU-SAL,Revenue,553429197.39,0.0,136812.18
2026-08,BU-SCM,Cost of sales,348660394.36,0.0,820497.77
2026-08,BU-CUS,Operating expenses,32798618.0,382514.71,606611.58
2026-08,BU-SAL,Operating expenses,26306258.2,517497.64,0.0
2026-08,BU-SCM,Operating expenses,47802839.72,963872.8,0.0
2026-08,BU-FIN,Operating expenses,8141578.08,152226.01,79274.61
2026-08,BU-TEC,Operating expenses,22223026.87,732604.73,1120390.34
2026-08,BU-COR,Operating expenses,12438539.33,457688.33,106860.31
2026-08,BU-ENG,Operating expenses,27818469.73,162479.96,0.0
