transaction_id,initiative_id,month,cost_category,cost_group,cost_type,vendor_id,cost_centre_id,amount,description
CT-00088,AI-001,2025-11,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7237.13,AI Customer Support Copilot: cloud
CT-00089,AI-001,2025-12,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7419.92,AI Customer Support Copilot: cloud
CT-00090,AI-001,2026-01,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7508.82,AI Customer Support Copilot: cloud
CT-00091,AI-001,2026-02,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7628.88,AI Customer Support Copilot: cloud
CT-00092,AI-001,2026-03,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7470.54,AI Customer Support Copilot: cloud
CT-00093,AI-001,2026-04,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7664.36,AI Customer Support Copilot: cloud
CT-00094,AI-001,2026-05,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,8044.07,AI Customer Support Copilot: cloud
CT-00095,AI-001,2026-06,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7658.43,AI Customer Support Copilot: cloud
CT-00096,AI-001,2026-07,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7506.83,AI Customer Support Copilot: cloud
CT-00097,AI-001,2026-08,cloud,Cloud,programme,V-HPE-GL,CC-CUS-AI,7347.68,AI Customer Support Copilot: cloud
CT-00098,AI-001,2025-09,vendors,Services,programme,V-SVC-D,CC-CUS-AI,29150.23,AI Customer Support Copilot: vendors
CT-00099,AI-001,2025-10,vendors,Services,programme,V-SVC-D,CC-CUS-AI,27812.56,AI Customer Support Copilot: vendors
CT-00100,AI-001,2025-11,vendors,Services,programme,V-SVC-D,CC-CUS-AI,19952.13,AI Customer Support Copilot: vendors
CT-00101,AI-001,2025-12,vendors,Services,programme,V-SVC-D,CC-CUS-AI,19969.43,AI Customer Support Copilot: vendors
CT-00102,AI-001,2026-01,vendors,Services,programme,V-SVC-D,CC-CUS-AI,19619.03,AI Customer Support Copilot: vendors
CT-00103,AI-001,2026-02,vendors,Services,programme,V-SVC-D,CC-CUS-AI,20075.54,AI Customer Support Copilot: vendors
CT-00104,AI-001,2026-03,vendors,Services,programme,V-SVC-D,CC-CUS-AI,19721.25,AI Customer Support Copilot: vendors
CT-00105,AI-001,2026-04,vendors,Services,programme,V-SVC-D,CC-CUS-AI,18091.84,AI Customer Support Copilot: vendors
CT-00106,AI-001,2026-05,vendors,Services,programme,V-SVC-D,CC-CUS-AI,20385.5,AI Customer Support Copilot: vendors
CT-00107,AI-001,2026-06,vendors,Services,programme,V-SVC-D,CC-CUS-AI,19255.62,AI Customer Support Copilot: vendors
CT-00108,AI-001,2026-07,vendors,Services,programme,V-SVC-D,CC-CUS-AI,19428.64,AI Customer Support Copilot: vendors
CT-00109,AI-001,2026-08,vendors,Services,programme,V-SVC-D,CC-CUS-AI,18351.76,AI Customer Support Copilot: vendors
CT-00110,AI-001,2025-09,consulting,Services,programme,V-SI-C,CC-CUS-AI,58429.8,AI Customer Support Copilot: consulting
CT-00111,AI-001,2025-10,consulting,Services,programme,V-SI-C,CC-CUS-AI,57423.54,AI Customer Support Copilot: consulting
CT-00112,AI-001,2025-11,consulting,Services,programme,V-SI-C,CC-CUS-AI,39647.39,AI Customer Support Copilot: consulting
CT-00113,AI-001,2025-12,consulting,Services,programme,V-SI-C,CC-CUS-AI,39771.49,AI Customer Support Copilot: consulting
CT-00114,AI-001,2026-01,consulting,Services,programme,V-SI-C,CC-CUS-AI,38014.79,AI Customer Support Copilot: consulting
CT-00115,AI-001,2026-02,consulting,Services,programme,V-SI-C,CC-CUS-AI,39246.58,AI Customer Support Copilot: consulting
CT-00116,AI-001,2026-03,consulting,Services,programme,V-SI-C,CC-CUS-AI,38010.06,AI Customer Support Copilot: consulting
CT-00117,AI-001,2026-04,consulting,Services,programme,V-SI-C,CC-CUS-AI,40778.42,AI Customer Support Copilot: consulting
CT-00118,AI-001,2026-05,consulting,Services,programme,V-SI-C,CC-CUS-AI,39128.35,AI Customer Support Copilot: consulting
CT-00119,AI-001,2026-06,consulting,Services,programme,V-SI-C,CC-CUS-AI,37170.62,AI Customer Support Copilot: consulting
CT-00120,AI-001,2026-07,consulting,Services,programme,V-SI-C,CC-CUS-AI,40040.35,AI Customer Support Copilot: consulting
CT-00121,AI-001,2026-08,consulting,Services,programme,V-SI-C,CC-CUS-AI,36385.22,AI Customer Support Copilot: consulting
CT-00122,AI-001,2025-09,employees,People,programme,,CC-CUS-AI,73653.13,AI Customer Support Copilot: employees
CT-00123,AI-001,2025-09,employees,People,programme,,CC-CUS-AI,49102.09,AI Customer Support Copilot: employees
CT-00124,AI-001,2025-10,employees,People,programme,,CC-CUS-AI,73415.66,AI Customer Support Copilot: employees
CT-00125,AI-001,2025-10,employees,People,programme,,CC-CUS-AI,48943.77,AI Customer Support Copilot: employees
CT-00126,AI-001,2025-11,employees,People,programme,,CC-CUS-AI,51256.31,AI Customer Support Copilot: employees
CT-00127,AI-001,2025-11,employees,People,programme,,CC-CUS-AI,34170.88,AI Customer Support Copilot: employees
CT-00128,AI-001,2025-12,employees,People,programme,,CC-CUS-AI,51501.32,AI Customer Support Copilot: employees
CT-00129,AI-001,2025-12,employees,People,programme,,CC-CUS-AI,34334.21,AI Customer Support Copilot: employees
CT-00130,AI-001,2026-01,employees,People,programme,,CC-CUS-AI,51092.34,AI Customer Support Copilot: employees
CT-00131,AI-001,2026-01,employees,People,programme,,CC-CUS-AI,34061.56,AI Customer Support Copilot: employees
CT-00132,AI-001,2026-02,employees,People,programme,,CC-CUS-AI,51206.68,AI Customer Support Copilot: employees
CT-00133,AI-001,2026-02,employees,People,programme,,CC-CUS-AI,34137.79,AI Customer Support Copilot: employees
CT-00134,AI-001,2026-03,employees,People,programme,,CC-CUS-AI,52111.95,AI Customer Support Copilot: employees
CT-00135,AI-001,2026-03,employees,People,programme,,CC-CUS-AI,34741.3,AI Customer Support Copilot: employees
CT-00136,AI-001,2026-04,employees,People,programme,,CC-CUS-AI,53340.48,AI Customer Support Copilot: employees
CT-00137,AI-001,2026-04,employees,People,programme,,CC-CUS-AI,35560.32,AI Customer Support Copilot: employees
CT-00138,AI-001,2026-05,employees,People,programme,,CC-CUS-AI,49939.14,AI Customer Support Copilot: employees
CT-00139,AI-001,2026-05,employees,People,programme,,CC-CUS-AI,33292.76,AI Customer Support Copilot: employees
CT-00140,AI-001,2026-06,employees,People,programme,,CC-CUS-AI,52173.71,AI Customer Support Copilot: employees
CT-00141,AI-001,2026-06,employees,People,programme,,CC-CUS-AI,34782.47,AI Customer Support Copilot: employees
CT-00142,AI-001,2026-07,employees,People,programme,,CC-CUS-AI,47850.26,AI Customer Support Copilot: employees
CT-00143,AI-001,2026-07,employees,People,programme,,CC-CUS-AI,31900.18,AI Customer Support Copilot: employees
CT-00144,AI-001,2026-08,employees,People,programme,,CC-CUS-AI,51309.7,AI Customer Support Copilot: employees
CT-00145,AI-001,2026-08,employees,People,programme,,CC-CUS-AI,34206.46,AI Customer Support Copilot: employees
CT-00146,AI-001,2025-09,training,People,programme,V-TRN-F,CC-CUS-AI,16908.58,AI Customer Support Copilot: training
CT-00147,AI-001,2025-10,training,People,programme,V-TRN-F,CC-CUS-AI,17901.75,AI Customer Support Copilot: training
CT-00148,AI-001,2025-11,training,People,programme,V-TRN-F,CC-CUS-AI,11483.27,AI Customer Support Copilot: training
CT-00149,AI-001,2025-12,training,People,programme,V-TRN-F,CC-CUS-AI,12504.44,AI Customer Support Copilot: training
CT-00150,AI-001,2026-01,training,People,programme,V-TRN-F,CC-CUS-AI,11507.55,AI Customer Support Copilot: training
CT-00151,AI-001,2026-02,training,People,programme,V-TRN-F,CC-CUS-AI,11105.36,AI Customer Support Copilot: training
CT-00152,AI-001,2026-03,training,People,programme,V-TRN-F,CC-CUS-AI,11199.35,AI Customer Support Copilot: training
CT-00153,AI-001,2026-04,training,People,programme,V-TRN-F,CC-CUS-AI,11093.91,AI Customer Support Copilot: training
CT-00154,AI-001,2026-05,training,People,programme,V-TRN-F,CC-CUS-AI,11451.23,AI Customer Support Copilot: training
CT-00155,AI-001,2026-06,training,People,programme,V-TRN-F,CC-CUS-AI,11640.3,AI Customer Support Copilot: training
CT-00156,AI-001,2026-07,training,People,programme,V-TRN-F,CC-CUS-AI,11399.14,AI Customer Support Copilot: training
CT-00157,AI-001,2026-08,training,People,programme,V-TRN-F,CC-CUS-AI,11175.68,AI Customer Support Copilot: training
CT-00158,AI-001,2025-09,data,Other,programme,V-DATA-E,CC-CUS-AI,27751.35,AI Customer Support Copilot: data
CT-00159,AI-001,2025-10,data,Other,programme,V-DATA-E,CC-CUS-AI,28490.04,AI Customer Support Copilot: data
CT-00160,AI-001,2025-11,data,Other,programme,V-DATA-E,CC-CUS-AI,18244.25,AI Customer Support Copilot: data
CT-00161,AI-001,2025-12,data,Other,programme,V-DATA-E,CC-CUS-AI,18998.71,AI Customer Support Copilot: data
CT-00162,AI-001,2026-01,data,Other,programme,V-DATA-E,CC-CUS-AI,19878.14,AI Customer Support Copilot: data
CT-00163,AI-001,2026-02,data,Other,programme,V-DATA-E,CC-CUS-AI,19116.52,AI Customer Support Copilot: data
CT-00164,AI-001,2026-03,data,Other,programme,V-DATA-E,CC-CUS-AI,18838.65,AI Customer Support Copilot: data
CT-00165,AI-001,2026-04,data,Other,programme,V-DATA-E,CC-CUS-AI,18999.5,AI Customer Support Copilot: data
CT-00166,AI-001,2026-05,data,Other,programme,V-DATA-E,CC-CUS-AI,20008.09,AI Customer Support Copilot: data
CT-00167,AI-001,2026-06,data,Other,programme,V-DATA-E,CC-CUS-AI,19474.36,AI Customer Support Copilot: data
CT-00168,AI-001,2026-07,data,Other,programme,V-DATA-E,CC-CUS-AI,19937.11,AI Customer Support Copilot: data
CT-00169,AI-001,2026-08,data,Other,programme,V-DATA-E,CC-CUS-AI,18819.87,AI Customer Support Copilot: data
CT-00170,AI-001,2025-11,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00171,AI-001,2025-12,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00172,AI-001,2026-01,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00173,AI-001,2026-02,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00174,AI-001,2026-03,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00175,AI-001,2026-04,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00176,AI-001,2026-05,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00177,AI-001,2026-06,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00178,AI-001,2026-07,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00179,AI-001,2026-08,employees,Incremental operating cost,incremental_opex,,CC-CUS-OPS,30000.0,"AI Customer Support Copilot: business run cost (review, change management, support)"
CT-00180,AI-002,2025-09,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,19857.87,AI Sales Forecasting: gpu
CT-00181,AI-002,2025-10,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,18735.64,AI Sales Forecasting: gpu
CT-00182,AI-002,2025-11,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,19470.96,AI Sales Forecasting: gpu
CT-00183,AI-002,2025-12,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,20153.34,AI Sales Forecasting: gpu
CT-00184,AI-002,2026-01,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,13514.95,AI Sales Forecasting: gpu
CT-00185,AI-002,2026-02,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,13830.09,AI Sales Forecasting: gpu
CT-00186,AI-002,2026-03,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,13410.64,AI Sales Forecasting: gpu
CT-00187,AI-002,2026-04,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,13185.48,AI Sales Forecasting: gpu
CT-00188,AI-002,2026-05,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,13845.72,AI Sales Forecasting: gpu
CT-00189,AI-002,2026-06,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,12837.53,AI Sales Forecasting: gpu
CT-00190,AI-002,2026-07,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,12088.38,AI Sales Forecasting: gpu
CT-00191,AI-002,2026-08,gpu,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,12981.16,AI Sales Forecasting: gpu
CT-00192,AI-002,2025-09,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,17097.14,AI Sales Forecasting: compute
CT-00193,AI-002,2025-10,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,16238.28,AI Sales Forecasting: compute
CT-00194,AI-002,2025-11,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,15829.91,AI Sales Forecasting: compute
CT-00195,AI-002,2025-12,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,17298.86,AI Sales Forecasting: compute
CT-00196,AI-002,2026-01,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,11173.72,AI Sales Forecasting: compute
CT-00197,AI-002,2026-02,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,11817.42,AI Sales Forecasting: compute
CT-00198,AI-002,2026-03,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,10335.03,AI Sales Forecasting: compute
CT-00199,AI-002,2026-04,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,11432.61,AI Sales Forecasting: compute
CT-00200,AI-002,2026-05,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,11243.7,AI Sales Forecasting: compute
CT-00201,AI-002,2026-06,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,11411.4,AI Sales Forecasting: compute
CT-00202,AI-002,2026-07,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,11431.06,AI Sales Forecasting: compute
CT-00203,AI-002,2026-08,compute,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,10775.43,AI Sales Forecasting: compute
CT-00204,AI-002,2025-09,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,13377.61,AI Sales Forecasting: storage
CT-00205,AI-002,2025-10,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,13711.41,AI Sales Forecasting: storage
CT-00206,AI-002,2025-11,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,13681.56,AI Sales Forecasting: storage
CT-00207,AI-002,2025-12,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,14054.25,AI Sales Forecasting: storage
CT-00208,AI-002,2026-01,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,8414.61,AI Sales Forecasting: storage
CT-00209,AI-002,2026-02,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,8138.94,AI Sales Forecasting: storage
CT-00210,AI-002,2026-03,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,9652.93,AI Sales Forecasting: storage
CT-00211,AI-002,2026-04,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,8721.05,AI Sales Forecasting: storage
CT-00212,AI-002,2026-05,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,8540.11,AI Sales Forecasting: storage
CT-00213,AI-002,2026-06,storage,Infrastructure,programme,V-HPE-INF,CC-SAL-AI,8822.18,AI Sales Forecasting: storage
