initiative_id,month,licensed_users,planned_active_users,active_users,adoption_rate,interactions,transactions,transaction_type,gpu_hours
AI-008,2026-05,1200,1080,1108,0.9235,50659,5066,workloads optimised,161.3
AI-008,2026-06,1200,1080,1123,0.9359,48606,4861,workloads optimised,157.2
AI-008,2026-07,1200,1080,1112,0.927,48466,4847,workloads optimised,156.9
AI-008,2026-08,1200,1080,1099,0.9156,50813,5081,workloads optimised,161.6
AI-009,2025-09,32,0,0,0.0,1536,4608,asset predictions,254.6
AI-009,2025-10,32,0,0,0.0,1536,4608,asset predictions,254.6
AI-009,2025-11,32,0,0,0.0,1536,4608,asset predictions,254.6
AI-009,2025-12,32,0,0,0.0,1536,4608,asset predictions,254.6
AI-009,2026-01,32,138,0,0.0,1536,4608,asset predictions,254.6
AI-009,2026-02,650,276,126,0.1945,20858,62574,asset predictions,122.6
AI-009,2026-03,650,414,264,0.4065,42675,128025,asset predictions,188.0
AI-009,2026-04,650,552,379,0.5824,59274,177823,asset predictions,237.8
AI-009,2026-05,650,552,521,0.8012,80484,241451,asset predictions,301.5
AI-009,2026-06,650,552,516,0.7934,79795,239386,asset predictions,299.4
AI-009,2026-07,650,552,523,0.8049,82880,248641,asset predictions,308.6
AI-009,2026-08,650,552,515,0.7922,79966,239898,asset predictions,299.9
AI-010,2025-09,75,0,0,0.0,2138,855,account recommendations,253.4
AI-010,2025-10,75,0,0,0.0,2138,855,account recommendations,253.4
AI-010,2025-11,75,0,0,0.0,2138,855,account recommendations,253.4
AI-010,2025-12,1500,300,287,0.1913,26566,10626,account recommendations,102.5
AI-010,2026-01,1500,600,546,0.364,52741,21096,account recommendations,144.4
AI-010,2026-02,1500,900,823,0.5484,76908,30763,account recommendations,183.1
AI-010,2026-03,1500,1200,1099,0.7328,106123,42449,account recommendations,229.8
AI-010,2026-04,1500,1200,1105,0.7368,103676,41470,account recommendations,225.9
AI-010,2026-05,1500,1200,1161,0.774,107161,42865,account recommendations,231.5
AI-010,2026-06,1500,1200,1142,0.7613,110278,44111,account recommendations,236.4
AI-010,2026-07,1500,1200,1163,0.7751,107727,43091,account recommendations,232.4
AI-010,2026-08,1500,1200,1086,0.7237,105230,42092,account recommendations,228.4
AI-011,2025-10,19,0,0,0.0,1197,1197,documents processed,251.4
AI-011,2025-11,19,0,0,0.0,1197,1197,documents processed,251.4
AI-011,2025-12,380,86,89,0.2341,19288,19288,documents processed,83.1
AI-011,2026-01,380,171,170,0.4465,36609,36609,documents processed,103.9
AI-011,2026-02,380,256,249,0.6543,50848,50848,documents processed,121.0
AI-011,2026-03,380,342,338,0.8895,73180,73180,documents processed,147.8
AI-011,2026-04,380,342,329,0.866,71565,71565,documents processed,145.9
AI-011,2026-05,380,342,342,0.901,74717,74717,documents processed,149.7
AI-011,2026-06,380,342,353,0.9288,74634,74634,documents processed,149.6
AI-011,2026-07,380,342,333,0.8775,68686,68686,documents processed,142.4
AI-011,2026-08,380,342,340,0.8938,73455,73455,documents processed,148.1
AI-012,2025-09,115,0,0,0.0,4830,1449,code suggestions accepted,252.2
AI-012,2025-10,115,0,0,0.0,4830,1449,code suggestions accepted,252.2
AI-012,2025-11,2300,431,370,0.1611,51586,15476,code suggestions accepted,83.2
AI-012,2025-12,2300,862,752,0.3268,104561,31368,code suggestions accepted,107.1
AI-012,2026-01,2300,1294,1103,0.4796,159345,47803,code suggestions accepted,131.7
AI-012,2026-02,2300,1725,1476,0.6418,209250,62775,code suggestions accepted,154.2
AI-012,2026-03,2300,1725,1524,0.6625,207259,62178,code suggestions accepted,153.3
AI-012,2026-04,2300,1725,1476,0.6417,214554,64366,code suggestions accepted,156.5
AI-012,2026-05,2300,1725,1569,0.6822,215211,64563,code suggestions accepted,156.8
AI-012,2026-06,2300,1725,1563,0.6797,218816,65645,code suggestions accepted,158.5
AI-012,2026-07,2300,1725,1491,0.6485,209783,62935,code suggestions accepted,154.4
AI-012,2026-08,2300,1725,1480,0.6437,200078,60024,code suggestions accepted,150.0
